epoch;loss;lr;val_loss
0;0.017579032108187675;0.01;0.008607612922787666
1;0.009379922412335873;0.01;0.007339728996157646
2;0.007626273203641176;0.01;0.00739660020917654
3;0.006047734059393406;0.0009999999;0.0060319919139146805
4;0.005873213522136211;0.0009999999;0.00595505116507411
5;0.0056779952719807625;1e-04;0.0059141796082258224
6;0.0056496658362448215;1e-04;0.005895685404539108
7;0.005633913446217775;1e-04;0.005880202632397413
8;0.00561548350378871;1e-04;0.005897267255932093
9;0.005595622584223747;1e-04;0.0058763884007930756
10;0.005577221978455782;1e-04;0.00589034566655755
11;0.005559929646551609;1e-04;0.005878873635083437
12;0.005542329512536526;1e-04;0.005892370827496052
13;0.005525762680917978;1e-04;0.005912600085139275
14;0.005508186761289835;1e-04;0.005906331818550825
