epoch;loss;lr;val_loss
0;0.0013026399537920952;0.001;0.00012593310384545475
1;8.737667667446658e-05;0.001;8.90098453965038e-05
2;6.958100129850209e-05;0.000100000005;8.262242772616446e-05
3;6.62337479298003e-05;1e-04;7.951092266011983e-05
4;6.33646413916722e-05;1e-04;7.638625538675115e-05
5;6.07932815910317e-05;1e-04;7.392578845610842e-05
6;5.8463148889131844e-05;1e-04;7.182441186159849e-05
7;5.656105713569559e-05;1e-04;7.052815635688603e-05
8;5.498476093634963e-05;1e-04;6.888260395498946e-05
9;5.356446490623057e-05;1e-04;6.752696936018765e-05
10;5.2361527195898816e-05;1e-04;6.639083585469052e-05
11;5.137115658726543e-05;1e-04;6.534672138513997e-05
12;5.051164043834433e-05;1e-04;6.507010402856395e-05
13;4.97524524689652e-05;1e-04;6.435095565393567e-05
14;4.9075286369770765e-05;1e-04;6.37755001662299e-05
15;4.846285082749091e-05;1e-04;6.313008634606376e-05
16;4.789961167261936e-05;1e-04;6.250324076972902e-05
17;4.738181451102719e-05;1e-04;6.224142271094024e-05
18;4.690798232331872e-05;1e-04;6.130084511823952e-05
19;4.646277375286445e-05;1e-04;6.115931319072843e-05
